"Annex table 15. Value of announced greenfield FDI projects, by sector/industry, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,
Sector/industry,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Other manufacturing, 5 037, 4 471, 4 375, 7 362, 6 978, 11 053, 12 332, 11 345, 9 546, 10 225, 14 132, 11 344, 11 370, 14 043, 11 869, 12 955, 11 347, 8 699, 11 033, 14 030, 14 713
Services, 204 517, 221 871, 229 074, 350 564, 380 428, 645 748, 450 623, 326 322, 347 989, 320 943, 439 511, 341 677, 397 739, 460 982, 339 844, 501 112, 469 571, 358 298, 430 598, 715 462, 703 185
Energy and gas supply, 23 072, 37 986, 27 087, 56 054, 77 475, 163 162, 133 188, 69 859, 91 263, 69 409, 108 190, 67 682, 133 365, 128 589, 100 167, 111 384, 148 251, 126 083, 147 283, 380 861, 364 993
Water and waste management services, 1 318,  375,  559, 1 026, 2 089, 4 035, 1 475,  828, 1 115, 1 642, 6 090, 2 893, 2 125, 4 078, 1 673, 2 050, 2 309,  599, 4 415, 2 570, 1 471
Construction, 21 137, 36 000, 26 157, 77 258, 67 797, 121 194, 76 734, 40 711, 35 604, 67 468, 53 431, 68 660, 84 554, 121 687, 57 541, 111 590, 61 442, 34 290, 50 342, 68 728, 71 557
Trade, 22 277, 18 916, 18 577, 23 947, 17 804, 26 781, 25 063, 22 692, 17 530, 14 137, 20 833, 16 064, 14 527, 14 699, 20 497, 24 749, 23 251, 23 898, 25 112, 14 461, 25 028
Transportation and storage, 34 192, 37 047, 43 367, 46 156, 41 558, 49 806, 44 132, 35 677, 35 452, 33 571, 57 585, 47 301, 36 855, 46 803, 35 870, 44 852, 44 015, 28 236, 37 548, 57 370, 68 787
Hospitality, 38 259, 25 479, 24 413, 31 374, 32 586, 65 658, 37 447, 29 923, 20 340, 18 294, 21 074, 8 402, 13 350, 13 344, 17 135, 49 219, 48 282, 15 969, 12 507, 10 071, 6 678
Information and communication, 28 379, 29 392, 33 873, 37 743, 35 181, 48 875, 54 885, 54 488, 74 183, 51 723, 79 040, 67 406, 67 659, 67 431, 66 557, 86 320, 76 794, 93 535, 119 606, 128 669, 110 064
Finance and insurance, 20 542, 21 698, 26 762, 36 906, 47 904, 56 459, 42 619, 42 884, 49 309, 36 896, 28 897, 28 446, 21 529, 18 644, 19 632, 22 190, 24 921, 18 970, 15 338, 23 459, 22 697
Real estate, 4 709, 3 949, 13 180, 26 520, 38 768, 86 628, 15 549, 9 549, 2 685, 1 714, 5 454, 16 287, 2 688, 23 128, 1 370, 5 308, 3 947,  600,  818,  994, 9 046
Professional services, 1 860, 2 535, 2 881, 4 446, 6 812, 7 478, 9 049, 8 390, 9 213, 9 332, 49 031, 8 056, 7 482, 8 745, 7 544, 9 253, 13 271, 8 498, 9 233, 13 006, 11 048
Administrative and support services, 1 668, 2 335, 3 332, 3 179, 3 033, 4 055, 2 624, 4 144, 4 066, 4 287, 3 662, 3 264, 4 388, 3 780, 3 701, 4 398, 4 807, 3 131, 3 192, 9 116, 6 952
Education,  223,  576,  510,  603,  562, 1 373, 1 655, 1 270, 1 464, 1 935, 1 494, 1 627, 1 550, 1 651, 1 260, 1 466, 2 554, 1 104, 1 359, 1 421, 1 233
Health services,  529,  506,  782,  737, 1 248, 2 902, 1 319, 1 950, 1 251, 2 802, 1 090, 3 124, 3 174, 1 219, 1 360, 1 512, 1 982,  586, 1 700, 3 002,  759
Entertainment, 6 354, 5 078, 7 596, 4 611, 7 560, 7 298, 4 858, 3 911, 4 470, 7 634, 3 553, 2 417, 4 459, 7 159, 5 531, 26 757, 13 653, 2 726, 2 051, 1 657, 2 796
Other services,-,-,-,  7,  51,  43,  28,  45,  43,  99,  88,  50,  35,  26,  6,  66,  91,  73,  93,  78,  76
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Source: UNCTAD, based on information from the Financial Times Ltd, fDi Markets (www.fDimarkets.com). ",,,,,,,,,,,,,,,,,,,,,
Note: Data refer to estimated amounts of capital investment. Definition and coverage of industries may be different from those of M&As and other FDI tables. They refer to the sector/industry of the project. Totals exclude the financial centres in the Caribbean.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
