"Annex table 10. Value of cross-border M&A purchases, by sector/industry, 1990–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/industry,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Basic metal and metal products,2 860,1 156,1 125,1 225, 665, 392,7 355, 243,5 871,7 061,17 911,2 418,4 220,6 717,2 392,14 971,40 202,41 953,21 660,2 746,5 075,18 375,9 705, 234,47 567,11 210,-2 603,-3 236,4 737,10 783,5 924, 974,18 695,12 018
Electronics and electrical equipment,5 449,17 549, 418,2 483,3 459,-4 041, 814,6 727,20 335,18 555,43 441,21 902,2 890,2 296,15 823,13 466,28 925,40 657,47 336,4 713,11 758,39 440,26 821,13 682,16 288,39 897,31 843,43 712,10 513, 46,30 990,45 717,19 956,4 113
Machinery and equipment,1 344, 694, 649,1 075,5 047,3 063,3 434,8 645,12 256,23 435,11 338,19 228,3 225,- 313,3 554,3 926,6 032,-34 240,7 837,1 814,5 910,14 564,12 836,7 754,10 647,-1 045,15 395,53 428,7 983,6 228,1 137,13 323,- 992,3 999
Automotive,7 483, 495,1 604,-1 837,4 186, 789,6 230,2 646,45 807,16 894,22 097,3 465,2 868, 932,- 801,4 923,-2 441,1 042,9 221, 73,6 737,10 899,4 902,1 449,8 193,22 899,-9 442,2 511,4 613,2 530,9 848,14 886,-21 661,9 451
Other manufacturing,- 152, 267, 245,-3 138,1 060,2 986,1 259,1 884,6 565,-6 399,3 853,3 512,1 750,5 358,1 987,4 621,7 686,11 722,9 003,2 495,7 038,9 894,6 555,2 729,6 153,49 672,5 618,1 538,5 708,10 306,6 739,21 768,8 078,5 225
Furniture, 132, 14, 33, 3, 67, 210, 18, 32, 539, 345, 669, 778, 393, 459, 837,- 30, 65, 140, 835, 45, 1,1 976, 106, 59, 757,20 529,3 389, 768, 444, 170, 42, 51,- 521, 22
Services,48 168,28 935,32 772,28 764,34 148,57 308,92 994,112 290,208 746,396 877,716 531,284 171,149 789,97 896,142 722,346 714,429 541,699 439,435 741,221 562,172 464,237 355,187 097,206 733,227 952,359 699,479 334,425 328,543 838,285 519,268 212,508 329,503 619,235 911
Utilities, 405, 854,- 242, 982, 106,7 957,9 883,14 650,14 849,43 840,73 656,4 299,27 880,-1 277,-12 454,23 772,-19 156,45 036,26 510,44 246,-14 841,6 758,3 128,8 860,16 516,-1 885,42 363,7 911,8 887,-2 121,10 864,-18 948,-21 308,5 966
Construction, 149,- 743, 303, 46,- 352, 320,1 621,- 88,- 605,5 800,3 475, 569, 277,- 550,- 32,4 852,2 436,7 047,-2 890,-2 561,-2 001,-1 575,2 774,4 865,- 137,3 799, 365,1 025,3 180,5 096,2 271,18 963,19 634,-1 572
Trade,2 212,3 092,2 372,4 020,1 158,3 793,12 609,2 569,10 628,29 276,18 183,7 897,7 510,5 045,4 280,1 066,5 151,-4 577,18 866,3 821,6 104,6 412,23 188,5 989,29 234,2 260,18 553,13 895,30 809,5 005,- 427,35 370,10 266,25 237
Transportation and storage,2 297, 757, 389,1 374,1 780,1 100,1 320,7 017,13 721,12 430,8 292,4 848,1 942,7 931,1 615,17 874,22 496,13 443,6 311,3 531,7 549,5 753,9 492,2 797,5 960,17 560,46 895,52 435,26 354,6 453,2 591,37 954,28 486,8 098
Hospitality,2 960, 379, 147, 666,1 905,4 558,2 419,2 555,4 996,9 971,2 629,5 995,1 338,- 582,- 29,- 875,1 355,-7 013,3 507, 354, 867, 684,-1 847, 898,16 267,2 965,5 708,1 048,3 936, 482,1 194,1 402,-2 239,-1 125
Information and communication,6 780, 638,- 637,2 286,12 376,5 018,17 389,15 765,53 316,174 407,379 884,96 051,47 445,9 781,2 763,56 614,74 449,40 170,62 367,41 587,27 407,34 721,28 665,34 046,-53 083,21 200,37 481,43 062,89 980,-8 321,28 542,24 561,77 638,1 909
Finance and insurance,29 681,21 790,29 880,18 426,15 163,31 529,41 401,64 341,100 100,112 028,187 224,147 897,53 708,74 249,143 086,213 081,313 766,555 246,312 975,125 835,138 016,168 033,113 475,131 210,190 276,265 274,264 825,247 165,337 003,277 622,210 813,365 169,342 210,180 063
Real estate,1 724, 381,- 185, 760, 894,1 339, 285,3 264,3 470,2 726,1 628,3 636,7 765, 276,4 026,16 086,15 495,20 747,10 996,1 647,- 390,4 401,-1 204,5 356,3 250,27 122,10 122,11 619,4 420,-15 138,1 553,6 215,-7 677,-3 819
Professional services,2 953, 11,- 238,- 95, 165, 770,2 816,1 832,2 566,3 517,26 647,2 251, 870,1 172, 708,9 297,10 077,13 208,3 882,2 176,4 745,4 935,4 007,6 920,2 967,7 552,4 755,6 637,6 448,12 592,5 984,20 408,11 787,2 272
Administrative and support services,- 860, 880, 454,- 391, 526, 575,4 593,1 393,2 646,3 922,13 237,9 206, 519,1 022,- 6,8 235,2 015,12 571,4 949,1 363,4 495,6 162,4 425,5 114,9 281,7 024,32 593,29 403,24 990,11 451,3 841,22 592,51 315,20 069
Public administration and defence,- 618,- 577,- 19,- 197,- 209,- 347,-1 481,-1 418, 193,- 318,1 534,- 34, 293,- 86,- 803,-2 822,-3 823,-2 484,-11 118,- 594,-4 303,- 288,-1 165,-1 984,-2 038,- 878, 690,-2 131,-4 146,-7 701,-1 506,-10 707,-11 225,-4 773
Education, 2, 7,-, 420,-,-, 1, 146, 4,- 90, 185, 109, 227, 589, 45,1 112,- 822, 42, 155, 51, 310, 112, 317,- 942,- 9,1 091,- 348, 25, 122,- 582,- 346, 793, 759, 899
Health services, 136,1 146, 110, 185, 137,- 374, 47,- 137, 257,- 926, 67,1 339, 47, 236, 659,-1 614, 755,7 778,- 730, 187,3 815, 729, 954,2 636,3 156, 682,13 600,8 315, 299,- 225, 418,2 450,-1 080,- 61
Entertainment, 121, 6, 506, 143, 87, 79, 61, 115,2 464, 514,- 119,- 129, 204,- 54,- 466,- 362,5 045, 201,1 116,- 77, 635, 526, 275, 647,6 042,5 978,1 589, 973,11 280, 973,6 513,3 174,5 447,2 727
Other services, 226, 315,- 66, 138, 412, 992, 32, 285, 142,- 219, 11, 234,- 234, 145,- 669, 399, 303,-1 973,-1 154,- 3, 55,- 9, 615, 321, 269,- 46, 143,3 945, 275,- 67,-4 091,-1 068,- 395, 21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNCTAD cross-border M&A database (www.unctad.org/fdistatistics).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All values and numbers referring to cross-border M&As in the World Investment Report 2024 (WIR24) and its web annex tables are presented on a net basis. Net cross-border M&As are calculated considering sales of companies in a host economy to foreign MNEs. They exclude sales of foreign affiliates (already owned by foreign MNEs) to other foreign MNEs. Divestments (sales of foreign affiliates to domestic firms) are subtracted from the value (number). Totals exclude the financial centres in the Caribbean.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
