"Annex table 14. Value of announced greenfield FDI projects, by destination, 2003–2023",,,,,,,,,,,,,,,,,,,,,
(Millions of dollars),,,,,,,,,,,,,,,,,,,,,
Region/economy,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Developing economies, 450 115, 384 936, 350 397, 462 274, 426 588, 793 758, 581 029, 482 459, 524 511, 361 971, 500 349, 445 058, 456 318, 531 025, 371 937, 612 409, 478 089, 296 731, 292 835, 622 048, 749 412
Africa, 51 243, 33 658, 60 599, 72 457, 53 529, 139 342, 85 664, 72 941, 67 835, 51 033, 69 819, 93 500, 66 159, 94 164, 86 032, 91 064, 74 446, 50 249, 52 211, 195 957, 174 745
North Africa, 13 963, 6 700, 30 246, 47 625, 28 000, 53 431, 41 280, 21 514, 10 936, 16 106, 12 619, 26 775, 22 669, 56 324, 46 348, 35 313, 21 346, 5 799, 19 217, 130 972, 65 463
Algeria, 4 389,  714, 10 148, 9 690, 3 793, 16 163, 1 505, 1 384, 1 332, 2 422, 4 173, 1 111,  779, 7 353, 1 357, 9 270,  959,  80,  818,  240,  691
Egypt, 4 968, 1 946, 13 022, 11 605, 11 974, 12 701, 21 645, 12 758, 4 890, 10 681, 4 978, 18 000, 16 038, 41 823, 40 317, 13 628, 14 229, 2 119, 14 190, 108 072, 41 904
Libya,  278,  570, 1 024, 20 976, 2 611, 2 980, 1 813,  988,  44,  113,  132,  149,-,-,-, 6 628,  68,  1,  12, 6 360, 2 083
Morocco, 1 473, 1 989, 3 972, 3 755, 5 145, 15 821, 6 771, 2 295, 2 947, 1 321, 2 588, 5 253, 3 970, 6 607, 3 931, 5 115, 3 352, 2 826, 3 797, 15 590, 20 362
South Sudan,  699,  564,  21,  559,  22, 1 158,  58,  168,  349,  328,  411,  129,-,  165,-,-,-,-,  7,  128,  11
Sudan,  666,  271,  420,  253,-, 1 249, 1 889, 2 292,  71,  70,  53,  56, 1 573,  37,-,  58,  93,  345,  96,  174,-
Tunisia, 1 491,  647, 1 639,  787, 4 454, 3 359, 7 599, 1 629, 1 303, 1 171,  283, 2 077,  309,  340,  744,  615, 2 645,  429,  298,  407,  412
Other Africa, 37 280, 26 958, 30 353, 24 832, 25 529, 85 911, 44 384, 51 427, 56 899, 34 928, 57 200, 66 725, 43 490, 37 840, 39 685, 55 751, 53 100, 44 450, 32 994, 64 985, 109 282
Central Africa, 3 277, 1 200, 5 531, 2 812, 4 534, 7 328, 4 765, 10 499, 8 595, 2 689, 6 661, 3 782, 4 450, 1 825, 1 555, 2 255, 4 749, 4 572, 2 919, 4 879, 10 685
Burundi,-,-,-,-,-,  22,  55,  25,  42,  41,  69,  307,  355,  209,  18,  8,  165,-,-,-,  189
Cameroon,  276,  11,  900,  606, 2 460,  350, 1 011, 5 287, 3 609,  76,  473,  93, 1 684,  156,  589,  347, 1 134,  203,  202,  94,  471
Central African Republic,-,-,-,-,  161,-,-,  11,-,  46,-,  19,  8,-,  10,  4,-,  5,-,-,-
Chad,-,-,-,-,-,  758,  57,-,  142,  89,  109,  627,  5,  43,  8,  4,  5,  199,  36,  10,-
Congo,  537,  270,-,-,  179,  11, 1 271,-,  32,  130, 4 217, 1 454,  156,  37,  33,  15,  43,  120,-,  776, 2 027
"Congo, Democratic Republic of",  527,  919, 2 453, 1 676, 1 114, 2 788,  48, 1 011, 2 163,  426, 1 132,  456, 1 188,  603,  775, 1 062,  570, 1 316,  319, 3 420, 6 400
Equatorial Guinea, 1 937,-,-,  102,-,  5, 1 300,  10, 1 799,  6,  4,  10,  116,-,  8,-,  26,-,-,-,-
Gabon,-,-, 2 148,  427,  337, 2 880,  709, 2 493,  225,  272,  43,  151,  13,  8,-,  515, 1 476, 2 489, 2 085,  209, 1 196
Rwanda,-,-,  19,-,  281,  264,  315, 1 663,  583, 1 496,  506,  658,  924,  769,  115,  299, 1 329,  241,  277,  371,  402
São Tomé and Principe,-,-,  11,-,  2,  251,-,-,-,  109,  109,  7,-,-,-,-,-,-,-,-,-
East Africa, 4 483, 2 345, 3 827, 3 217, 5 357, 9 503, 4 632, 10 900, 8 025, 4 000, 12 491, 7 051, 7 065, 10 971, 7 205, 13 896, 8 491, 3 150, 4 096, 16 965, 17 615
Comoros,-,-,-,-,  11,  11,-,-,  7,  100,  10,  10,  10,-,-,-,-,-,-,-,-
Djibouti,-,-,  300,  530,  5, 1 108,  880,  891,-,  15,  191,  242,  552,  220,  10,  195,  192,  246,  6, 2 469, 1 635
Eritrea,  270,  1, 1 080,  22,-,-,-,-,-,-,-,-,-,  135,-,-,-,-,  7,-,-
Ethiopia,  100,  53,  20, 1 513,  594,  777,  337,  360, 1 018,  359, 5 005, 2 517, 1 781, 5 922, 1 607, 6 888, 2 056,  569,  139,  555, 3 597
Kenya,  632,  466,  264,  115,  363,  597, 1 315,  775, 2 068, 1 392, 2 615, 1 643, 2 553, 1 044, 2 728, 1 827, 3 886,  774, 2 182, 1 950, 7 868
Madagascar, 1 172,  131,  273,  219, 3 337, 1 342,  164,-,  70,  188,  155,  417,-,  58,  113,  807,  107,  382,  140,  7,  209
Mauritius,  901,  229,  80,  14,  289,  326,  74,  63, 1 399,  223,  37,  327,  72,  355,  25,  267,  308,  71,  75,  73,  308
Seychelles,-,  129,  71,-,  124,  141,  1,  130,  11,  11,  114,  38,-,  19,-,  229,  39,  389,  120,  186,  0
Somalia,-,  8,-,  150,-,  161,-,  34,-,  40,  326,  115,-,  659,  635,  198,  29,  120,-,  146,  809
Uganda,  190,  56,  69,  364,  299, 2 921, 1 429, 7 845,  349,  515, 1 104, 1 075,  790,  311,  336, 2 748,  974,  354,  284, 10 208, 1 501
United Republic of Tanzania, 1 219, 1 272, 1 671,  288,  336, 2 120,  434,  802, 3 103, 1 157, 2 934,  668, 1 308, 2 248, 1 754,  736,  903,  245, 1 143, 1 370, 1 689
Southern Africa, 18 791, 15 341, 6 920, 9 486, 12 791, 32 758, 19 201, 13 720, 28 020, 18 706, 20 311, 38 555, 14 112, 15 392, 14 473, 23 588, 12 124, 12 113, 18 366, 36 286, 24 158
Angola, 12 044, 8 783,  557, 2 479, 5 186, 11 190, 5 541, 1 339,  381, 2 819,  818, 16 163, 2 591,  369, 2 579, 4 689, 2 220, 3 382, 2 603,  370,  575
Botswana,  594,  271,  196,  903,  346, 1 984,  362,  461,  375,  155,  92,  307,  167,  861,  11,  182,  92,  148,  346,  296, 1 143
Eswatini,-,  352,  65,-,-,  21,  11,-,  439,  7,  109,  61,-,-,-,  11,  46,  10,  115,  7,-
Lesotho,  56,-,-,-,  56,  12,  26,  56,  512,  4,-,-,-,-,  139,  164,  321,  11,  197,-,-
Malawi,-,-,-,-,-,  22,  710,  316,  206,  45,  672,  25,  10,  7,  13,  884,  358,  56,  46,  183,  791
Mozambique,  553, 1 602,-,  565, 2 074, 4 582, 1 458, 3 199, 8 853, 5 068, 6 884, 6 776, 4 722, 6 188, 5 689, 2 063,  860,  563, 2 544, 1 371, 3 132
Namibia,  519,  125,  959,  29,  471, 1 799, 1 501,  378,  884,  780, 1 275,  154,  113,  33,  193,  669,  866,  162, 4 598,  572, 1 207
South Africa, 3 630, 3 454, 2 973, 3 925, 3 727, 10 762, 5 623, 6 015, 12 596, 5 722, 7 069, 11 895, 5 040, 7 406, 3 393, 6 180, 4 897, 6 686, 5 200, 26 784, 14 325
Zambia,  947,  699, 2 101, 1 458,  395, 1 387, 3 032, 1 206, 2 343, 1 008,  948, 2 640,  595,  432, 2 017, 1 085,  698,  876,  837, 1 698, 1 360
Zimbabwe,  448,  56,  70,  128,  537,  999,  938,  750, 1 431, 3 098, 2 446,  535,  875,  96,  439, 7 662, 1 767,  219, 1 881, 5 004, 1 626
West Africa, 10 729, 8 072, 14 075, 9 318, 2 848, 36 322, 15 785, 16 308, 12 259, 9 533, 17 738, 17 336, 17 863, 9 652, 16 451, 16 013, 27 735, 24 614, 7 613, 6 855, 56 824
Benin,  8,-,-,-,-,  11,-,  12,  46,  37,  139,  10,  439,-,  187,  38, 1 582,  44,  228,-,  70
Burkina Faso,  270,  12,  547,-,  11,  281,  270,  460,  157,  1,  585,  69,-,  43,  4,  437,  532,  353,  93,  89,  671
Cabo Verde,-,-,-,-,  11,  137,-,  92,  135,  46,  7,  110,  277,  161,-,  100,  210,  28,-,  11,-
Côte d'Ivoire,  11,-,  807,  153,  29,  569,  122,  166,  723,  735, 2 268,  400, 3 339,  799,  513, 1 540, 2 402,  775,  610, 1 072, 1 088
Gambia,-,-,  150,  108,  11,  33,  33,  206,  15,  200,  10,-,-,  181,  19,  128,  167,-,-,  10,  362
Ghana, 2 020,  228,  644,  784,  139, 4 810, 6 789, 2 395, 5 528, 1 404, 2 492, 4 343, 1 650,  592, 9 124, 1 240, 4 874, 1 358, 1 320, 1 331, 2 560
Guinea,  270,  708,  62,  295,-,-,  67, 1 417,  554,  36,  999,  7, 1 004,  21,  532, 3 837, 1 630, 14 499,  8,  63, 8 600
Guinea-Bissau,  537,-,-,-,  161,-,  22,-,-,-,-,  257,  4,  60,-,-,-,-,-,-,-
Liberia,-,-,  911,-,-,-,  824, 2 535,  281,  73,  450,  20,  895,  28,  238,  86,  704,  141, 1 554,  56,-
Mali,-,-,  653,  430,-,  400,  58,  15,  43,  791,  36,  79,  375,-,  184,  65,  223,  490,  434,  225,  30
Mauritania,  820,  537, 1 137,  575,  37,  270,-,  46,  274,  337,  8, 1 373,-,  21,  37,-,  158,  7,  379,  55, 34 000
Niger, 1 404,-,-,  1,-, 3 141,-,  100,  278,-,  350,  14,-,-,  10,  100,  351,  5,  165,  39,-
Nigeria, 4 224, 5 995, 8 430, 5 649, 1 763, 25 123, 6 827, 7 834, 3 904, 4 314, 7 610, 10 277, 8 018, 6 740, 4 865, 7 965, 10 257, 5 992, 1 759, 1 986, 8 500
Senegal,  603,  323,  23,  815,  536, 1 324,  498,  801,  102, 1 096, 1 835,  358, 1 473,  219,  736,  331, 2 112,  759,  638, 1 487,  335
Sierra Leone,  564,  270,  711,  276,-,  78,  260,  230,  218,  112,  531,-,  361,  708,-,  40,  170,-,  51,  252,  530
Togo,-,-,-,  232,  150,  146,  15,-,-,  353,  418,  19,  28,  82,  3,  106, 2 362,  162,  375,  181,  79
Asia, 294 518, 292 913, 223 977, 332 819, 316 278, 524 272, 385 453, 300 561, 335 740, 237 723, 283 923, 271 395, 322 394, 371 229, 218 619, 426 297, 284 912, 180 572, 170 863, 312 643, 451 328
East and South-East Asia, 200 231, 190 918, 132 457, 185 166, 216 858, 284 856, 225 315, 194 348, 202 888, 151 448, 191 962, 187 386, 194 624, 200 609, 137 563, 269 487, 157 290, 114 042, 112 800, 141 067, 221 557
East Asia, 139 891, 132 565, 90 395, 126 602, 113 648, 129 531, 121 572, 112 816, 118 899, 92 484, 98 485, 91 389, 76 765, 76 101, 65 717, 142 751, 64 390, 44 205, 44 926, 28 103, 46 340
China, 129 402, 123 975, 81 567, 118 968, 100 720, 117 774, 109 172, 98 267, 106 450, 80 523, 87 530, 82 669, 60 821, 66 194, 54 223, 123 336, 53 653, 38 253, 35 807, 21 855, 37 538
Democratic People’s Republic of Korea,  41,-,-,  224,  478,  606,  221,-,  59,-,  283,  4,-,  0,  27,-,-,-,-,-,  12
Mongolia,  764,  10, 1 466,  182,  346,  335,  257, 1 655,  359,  188, 1 704,  175, 5 598,  556, 1 048, 2 164,  70,  12,-,  7,  109
"Hong Kong, China", 4 196, 3 843, 3 577, 4 277, 3 740, 6 337, 7 736, 5 928, 6 685, 6 936, 6 603, 5 954, 4 148, 6 236, 6 854, 8 587, 4 509, 2 555, 3 921, 2 996, 4 260
"Macao, China",  735, 1 970,  503,  112, 4 206,  689,  490,  221,  486, 2 324,  202,  791, 3 583,  274,  100,  638, 2 199,  148,  342,  263,  296
Taiwan Province of China, 4 754, 2 766, 3 282, 2 840, 4 157, 3 790, 3 697, 6 745, 4 861, 2 513, 2 163, 1 796, 2 615, 2 842, 3 464, 8 026, 3 959, 3 237, 4 857, 2 982, 4 124
South-East Asia, 60 340, 58 353, 42 062, 58 564, 103 211, 155 325, 103 743, 81 531, 83 989, 58 964, 93 477, 95 997, 117 859, 124 507, 71 846, 126 736, 92 900, 69 838, 67 874, 112 964, 175 217
Brunei Darussalam,  52,  58,  114,-,  539,  379,  434,  204, 5 078,  157,  82,  156,  73,  206,  52,  34,  45, 13 695,  154,  2,  3
Cambodia,  403,  205,  229, 1 138,  182, 3 415, 3 771, 1 237, 2 177, 1 512, 2 273, 2 227, 3 289, 4 823, 1 958, 3 090,  996, 1 556,  391, 1 050, 2 554
Indonesia, 11 523, 13 402, 9 470, 14 236, 19 706, 35 868, 27 359, 14 812, 24 838, 15 392, 20 074, 19 192, 40 747, 23 473, 10 142, 22 755, 13 789, 20 436, 9 234, 24 292, 60 604
Lao People's Democratic Republic,  283,  116,  506,  569, 1 895, 1 695, 2 074,  293, 1 273, 2 391,  943, 1 082, 2 779, 1 619,  481, 2 240,  551,  103,  166,  541,  731
Malaysia, 9 728, 6 864, 4 082, 4 717, 7 496, 23 330, 12 874, 17 869, 13 610, 7 553, 12 414, 19 583, 14 270, 20 279, 6 484, 14 743, 9 776, 8 194, 27 389, 23 545, 36 844
Myanmar,  619,  4,  70,  281,  338, 3 075, 1 800,  434,  613, 1 470, 16 275, 4 537, 10 251, 7 890, 2 456, 5 270, 4 752, 4 275,  149,  89,  105
Philippines, 2 133, 3 641, 3 267, 5 445, 13 508, 11 438, 9 650, 4 453, 4 253, 8 271, 4 376, 6 989, 8 634, 10 159, 4 568, 22 976, 12 453, 1 731, 1 472, 3 655, 20 422
Singapore, 7 971, 11 602, 7 115, 13 321, 15 901, 10 525, 11 656, 16 406, 18 588, 9 849, 8 718, 12 633, 8 703, 12 405, 18 949, 17 784, 7 116, 6 928, 13 306, 18 279, 11 355
Thailand, 13 316, 13 918, 5 706, 4 420, 6 159, 14 262, 6 946, 8 747, 4 251, 5 875, 6 329, 8 375, 7 896, 8 182, 5 192, 7 276, 4 992, 2 043, 3 991, 15 277, 6 609
Timor-Leste, 4 000,-,  10,-,-,-,-, 1 000,-,  78, 1 000,  12,  87,-,  118,  12,  1,-,-,  80,  181
Viet Nam, 10 311, 8 544, 11 493, 14 438, 37 488, 51 338, 27 179, 16 076, 9 308, 6 415, 20 992, 21 211, 21 129, 35 472, 21 446, 30 555, 38 430, 10 876, 11 622, 26 156, 35 807
South Asia, 26 219, 35 252, 32 808, 65 668, 48 461, 77 134, 61 560, 49 493, 55 101, 39 295, 31 989, 42 688, 86 750, 84 915, 36 850, 70 226, 72 015, 25 755, 21 064, 83 859, 108 580
Afghanistan,  292,  90,  157,  38,  6,  256,  80,  303,  308,  227,  320,-,  18,-,  7,  163,-,-,-,-, 1 755
Bangladesh, 1 268,  921,  503,  604,  53,  776,  523, 2 594,  514, 2 277, 1 077, 2 066, 3 023, 6 580,  715, 5 300, 5 764,  808, 1 422,  650, 2 891
Bhutan,-,-,-,  84,-,-,  116,  70,  91,  31,  179,-,  277,-,-,  926,-,  81,  154,  176,  630
India, 16 247, 27 268, 22 286, 58 804, 40 249, 64 605, 50 329, 39 849, 45 502, 30 014, 23 962, 27 009, 58 843, 58 668, 26 737, 55 310, 36 209, 23 267, 16 684, 81 030, 83 364
"Iran, Islamic Republic of", 5 463, 3 205, 1 467, 1 068, 2 438, 2 160, 2 604, 2 410, 1 577,-,  55, 1 630, 2 887, 13 457, 2 522, 1 929,  204,-,-,-,  4
Maldives,-,  1,-,  350,  70,  245,  175, 1 596,  789,  164,  118,  102,  312,  181,  112,  273,  183,  162,  154,  111,  605
Nepal,  2,  60,-,  72,  5,  633,  356,  339,  108,-,  611,  458,  756,  101,  166,  283,  440,  263, 1 232,  33,  785
Pakistan, 2 619, 3 364, 8 089, 3 880, 5 074, 7 242, 5 153, 1 368, 2 323, 5 222, 3 370, 9 455, 19 235, 4 490, 5 151, 3 759, 3 943,  234,  919, 1 709, 11 039
Sri Lanka,  328,  343,  307,  769,  568, 1 218, 2 225,  964, 3 890, 1 361, 2 297, 1 969, 1 400, 1 438, 1 441, 2 283, 25 272,  941,  499,  151, 7 507
