STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,DECIMALS,Decimals
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,COMMANDSIMPLIF_BURDEN,Communication and simplification of administrative and regulatory burden,A,Annual,2023,,2.599999905,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,BARRIER_DOM,Barriers in service & network sectors,A,Annual,2023,,1.649145246,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,SERVBARRIER,Barriers to entry in service sectors,A,Annual,2023,,1.953846097,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,BARRIER_SECT,Barriers to entry in network sectors,A,Annual,2023,,1.344444394,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,BARRIER_TRADE,Barriers to trade and investment,A,Annual,2023,,0.716280937,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,FDI_INDEX,Barriers to foreign direct investment (FDI),A,Annual,2023,,1.164450049,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,TFI,Barriers to trade facilitation,A,Annual,2023,,0.484392822,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUS,Australia,TARIFFS,Tariff barriers,A,Annual,2023,,0.5,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,PMR,Product market regulation,A,Annual,2023,,1.467636347,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,STATE_INVOL,Distortions induced by state involvement,A,Annual,2023,,1.388231277,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,DISTORT_PUBLIC,Distortions induced by public ownership,A,Annual,2023,,1.042306304,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,GOVERNANCE,Governance of state-owned enterprises (SOEs),A,Annual,2023,,1.605263114,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,INVOL_BUSINESS,Involvement in business operations,A,Annual,2023,,1.397387505,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,PRICE,Retail price controls and regulation,A,Annual,2023,,1.388888836,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,INV_BUS_NET,Involvement in business operations in network sectors,A,Annual,2023,,0.555555582,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,INV_BUS_SER,Involvement in business operations in service sectors,A,Annual,2023,,2.778439045,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,PUBLIC_PROCUREMENT,Public procurement,A,Annual,2023,,0.866666675,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,REGULATIONS,Regulations impact evaluation,A,Annual,2023,,1.725000024,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,IMPACT_ASSESSMENT,Assessment of impact on competition,A,Annual,2023,,0.200000003,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,STAKEHOLDER_ENGAG,Interaction with stakeholders,A,Annual,2023,,3.25,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,BARRIER_ENTRY,Barriers to domestic and foreign entry,A,Annual,2023,,1.547041416,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,ADREG_BURDEN,Administrative and regulatory burden,A,Annual,2023,,2.331249952,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,ADBURDEN,Administrative requirements for limited liability companies (LLCs) and personally owned enterprises (POEs),A,Annual,2023,,2.662499905,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,COMMANDSIMPLIF_BURDEN,Communication and simplification of administrative and regulatory burden,A,Annual,2023,,2,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,BARRIER_DOM,Barriers in service & network sectors,A,Annual,2023,,1.817708254,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,SERVBARRIER,Barriers to entry in service sectors,A,Annual,2023,,2.625,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,BARRIER_SECT,Barriers to entry in network sectors,A,Annual,2023,,1.010416627,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,BARRIER_TRADE,Barriers to trade and investment,A,Annual,2023,,0.492165864,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,FDI_INDEX,Barriers to foreign direct investment (FDI),A,Annual,2023,,0.333077997,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,TFI,Barriers to trade facilitation,A,Annual,2023,,0.643419623,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,AUT,Austria,TARIFFS,Tariff barriers,A,Annual,2023,,0.5,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,PMR,Product market regulation,A,Annual,2023,,1.469778419,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,STATE_INVOL,Distortions induced by state involvement,A,Annual,2023,,1.546369791,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,DISTORT_PUBLIC,Distortions induced by public ownership,A,Annual,2023,,0.950617313,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,GOVERNANCE,Governance of state-owned enterprises (SOEs),A,Annual,2023,,1.555555582,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,INVOL_BUSINESS,Involvement in business operations,A,Annual,2023,,1.255158782,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,PRICE,Retail price controls and regulation,A,Annual,2023,,1.5,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,INV_BUS_NET,Involvement in business operations in network sectors,A,Annual,2023,,0.40476191,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,INV_BUS_SER,Involvement in business operations in service sectors,A,Annual,2023,,2.349206448,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,PUBLIC_PROCUREMENT,Public procurement,A,Annual,2023,,0.766666651,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,REGULATIONS,Regulations impact evaluation,A,Annual,2023,,2.433333397,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,IMPACT_ASSESSMENT,Assessment of impact on competition,A,Annual,2023,,1.700000048,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,STAKEHOLDER_ENGAG,Interaction with stakeholders,A,Annual,2023,,3.166666746,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,BARRIER_ENTRY,Barriers to domestic and foreign entry,A,Annual,2023,,1.393187046,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,ADREG_BURDEN,Administrative and regulatory burden,A,Annual,2023,,1.837499976,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,ADBURDEN,Administrative requirements for limited liability companies (LLCs) and personally owned enterprises (POEs),A,Annual,2023,,1.924999952,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,COMMANDSIMPLIF_BURDEN,Communication and simplification of administrative and regulatory burden,A,Annual,2023,,1.75,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,BARRIER_DOM,Barriers in service & network sectors,A,Annual,2023,,1.95425272,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,SERVBARRIER,Barriers to entry in service sectors,A,Annual,2023,,2.774358988,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,BARRIER_SECT,Barriers to entry in network sectors,A,Annual,2023,,1.134146333,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,BARRIER_TRADE,Barriers to trade and investment,A,Annual,2023,,0.387808561,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,FDI_INDEX,Barriers to foreign direct investment (FDI),A,Annual,2023,,0.060495,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,TFI,Barriers to trade facilitation,A,Annual,2023,,0.602930725,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,BEL,Belgium,TARIFFS,Tariff barriers,A,Annual,2023,,0.5,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,PMR,Product market regulation,A,Annual,2023,,1.487941563,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,STATE_INVOL,Distortions induced by state involvement,A,Annual,2023,,1.599099159,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,DISTORT_PUBLIC,Distortions induced by public ownership,A,Annual,2023,,2.435124397,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,GOVERNANCE,Governance of state-owned enterprises (SOEs),A,Annual,2023,,3.421052694,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,INVOL_BUSINESS,Involvement in business operations,A,Annual,2023,,0.974673212,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,PRICE,Retail price controls and regulation,A,Annual,2023,,1.176470637,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,INV_BUS_NET,Involvement in business operations in network sectors,A,Annual,2023,,0.666666687,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,INV_BUS_SER,Involvement in business operations in service sectors,A,Annual,2023,,0.788888931,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,PUBLIC_PROCUREMENT,Public procurement,A,Annual,2023,,1.266666651,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,REGULATIONS,Regulations impact evaluation,A,Annual,2023,,1.387500048,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,IMPACT_ASSESSMENT,Assessment of impact on competition,A,Annual,2023,,0.600000024,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,STAKEHOLDER_ENGAG,Interaction with stakeholders,A,Annual,2023,,2.174999952,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,BARRIER_ENTRY,Barriers to domestic and foreign entry,A,Annual,2023,,1.376783967,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,ADREG_BURDEN,Administrative and regulatory burden,A,Annual,2023,,1.739583373,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,ADBURDEN,Administrative requirements for limited liability companies (LLCs) and personally owned enterprises (POEs),A,Annual,2023,,1.3125,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,COMMANDSIMPLIF_BURDEN,Communication and simplification of administrative and regulatory burden,A,Annual,2023,,2.166666746,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,BARRIER_DOM,Barriers in service & network sectors,A,Annual,2023,,1.885788321,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,SERVBARRIER,Barriers to entry in service sectors,A,Annual,2023,,2.253846169,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,BARRIER_SECT,Barriers to entry in network sectors,A,Annual,2023,,1.517730474,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,BARRIER_TRADE,Barriers to trade and investment,A,Annual,2023,,0.504980326,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,FDI_INDEX,Barriers to foreign direct investment (FDI),A,Annual,2023,,0.900506258,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,TFI,Barriers to trade facilitation,A,Annual,2023,,0.614434779,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CAN,Canada,TARIFFS,Tariff barriers,A,Annual,2023,,0,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,PMR,Product market regulation,A,Annual,2023,,1.347064912,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,STATE_INVOL,Distortions induced by state involvement,A,Annual,2023,,1.320894241,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,DISTORT_PUBLIC,Distortions induced by public ownership,A,Annual,2023,,1.652960539,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,GOVERNANCE,Governance of state-owned enterprises (SOEs),A,Annual,2023,,2.368421078,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,INVOL_BUSINESS,Involvement in business operations,A,Annual,2023,,1.009722233,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,PRICE,Retail price controls and regulation,A,Annual,2023,,1.277777791,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,INV_BUS_NET,Involvement in business operations in network sectors,A,Annual,2023,,0.75,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,INV_BUS_SER,Involvement in business operations in service sectors,A,Annual,2023,,0.611111104,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,PUBLIC_PROCUREMENT,Public procurement,A,Annual,2023,,1.399999976,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,REGULATIONS,Regulations impact evaluation,A,Annual,2023,,1.299999952,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,IMPACT_ASSESSMENT,Assessment of impact on competition,A,Annual,2023,,1.399999976,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,STAKEHOLDER_ENGAG,Interaction with stakeholders,A,Annual,2023,,1.200000048,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,BARRIER_ENTRY,Barriers to domestic and foreign entry,A,Annual,2023,,1.373235583,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
DATAFLOW,OECD.ECO.GCRD:DSD_PMR@DF_PMR(1.0),Product market regulation,I,CHL,Chile,ADREG_BURDEN,Administrative and regulatory burden,A,Annual,2023,,2.2590909,,A,Normal value,0,Units,0_TO_6,0-6 scale,4,Four
